nickname,count,every,age
Pomněnka,23,1197,v3
Píďa,23,828,v4
Prófa,23,710,v4
Pirát,23,835,v5
Rosnička,23,1436,v3
Lachtan,23,994,v4
Koumák,23,1128,v6
Gepard,23,1796,v3
Grizzly,23,423,v7
Zajíc,22,835,v5
Žužu,22,1796,v3
Verča,22,1242,v4
Mauglí,22,282,v6
Hejkal,22,835,v5
Karkulka,22,1796,v3
Doktor,22,828,v4
Bublina,22,994,v4
Fík,22,556,v5
Zub,21,828,v4
Sirka,21,1436,v3
Papoušek,21,1734,v2
Hvězdička,21,1128,v6
Bára,21,828,v4
Smajlík,20,2001,v2
Tonda,20,2364,v2
Zuzka,20,798,v3
Upír,20,2001,v2
Tarzan,20,835,v5
Špunt,20,898,v3
Radar,20,1128,v6
Píšťalka,20,1242,v4
Mimoň,20,1669,v5
Očko,20,1796,v3
Hopík,20,1734,v2
Koala,20,1128,v6
Honzík,20,1128,v6
Kim,20,264,v7
Datel,20,835,v5
Čertík,20,1436,v3
Šipka,19,1057,v7
Šaman,19,564,v6
Sušenka,19,1858,v2
Vendy,19,835,v5
Soptík,19,334,v5
Žirafa,19,1128,v6
Vydra,19,2364,v2
Rádio,19,1197,v3
Ovečka,19,1669,v5
Pipi,19,1796,v3
Pastelka,19,1656,v4
Housenka,19,1436,v3
Harry,19,898,v3
Béďa,19,282,v6
Brepta,19,1197,v3
Zip,18,552,v4
Svišť,18,1242,v4
Štěně,18,1669,v5
Rybka,18,1128,v6
Marťa,18,994,v4
Racek,18,704,v7
Maruška,18,528,v7
Mára,18,1026,v3
Rychlík,18,2167,v2
Puštík,18,1669,v5
Morče,18,2167,v2
Jojo,18,2485,v4
Lasička,18,1669,v5
Kiwi,18,556,v5
Komár,18,835,v5
Kečup,18,2167,v2
Jezevec,18,226,v6
Bizon,18,376,v6
Čert,18,564,v6
Áďa,18,2601,v2
Blecha,18,1026,v3
Dave,18,1197,v3
Vločka,17,1796,v3
Tomík,17,1656,v4
Riki,17,564,v6
Motýlek,17,2890,v2
Malina,17,2364,v2
Rys,17,1057,v7
Hříbek,17,1128,v6
Klokan,17,1128,v6
Hobit,17,1669,v5
Hroch,17,1128,v6
Čmelák,17,1128,v6
Fanda,17,2394,v3
Ben,17,564,v6
Brouček,17,1656,v4
Zoubek,16,2485,v4
Saša,16,2113,v7
Viky,16,1128,v6
Popelka,16,1669,v5
Oříšek,16,2182,v1
Péťa,16,1436,v3
Naty,16,2364,v2
Miška,16,994,v4
Lvíče,16,2364,v2
Opičák,16,2167,v2
Lev,16,1128,v6
Kukačka,16,2394,v3
Kecal,16,1128,v6
Dáda,16,2394,v3
